No.overall,No. inseries,Title,Incident,Original release date,Description
11,5,"""Lost""",American Airlines Flight 965,20 February 2005 (2005-02-20),"On 20 December 1995, American Airlines Flight 965 is en route to Cali, Colombia. The crew are asked if they would like to perform a straight-in approach to Cali. The pilots accept the offer, but as they are making the necessary changes, they inadvertently delete the waypoints from the flight plan in their flight management system, causing them to lose certainty of their exact position. Their mistakes cause the aircraft to fly into a mountain near Buga. Only four passengers and a dog survive.


Type of aircraft: Boeing 757-200"
12,6,"""Missing over New York""",Avianca Flight 052,27 February 2005 (2005-02-27),"On 25 January 1990, Avianca Flight 052 is delayed numerous times by bad weather en route and is dangerously low on fuel as it attempts a landing at New York City. Wind shear forces the crew to abort the approach just one mile from the runway. They initiate a go-around, but are directed back into a holding pattern by air traffic controllers who are unaware of the low fuel situation. The Boeing 707 then runs out of fuel, causing it to crash on Long Island.


Type of aircraft: Boeing 707-320B"
13,1,"""Hanging by a Thread""",Aloha Airlines Flight 243,14 September 2005 (2005-09-14),"On 28 April 1988, the upper half of the front fuselage of Aloha Airlines Flight 243 tears off, blowing out a flight attendant. The aircraft subsequently lands safely at Kahului, Hawaii. The fuselage failed from corrosion damage and improperly-repaired fatigue cracks.


Type of aircraft: Boeing 737-200"
14,2,"""Attack over Baghdad""",2003 Baghdad DHL attempted shootdown incident,21 September 2005 (2005-09-21),"On 22 November 2003, a 9K34 Strela-3 man-portable air-defense system is launched at a DHL Airbus A300, exploding the left wing and causing a massive loss of hydraulic fluid which immobilizes the flight control surfaces. The crew flies the aircraft by changing the engines' thrust for control and make a safe landing 16 minutes later. 


Type of aircraft: Airbus A300B4-200F"
15,3,"""Out of Control""",Japan Air Lines Flight 123,28 September 2005 (2005-09-28),"On 12 August 1985, the aft pressure bulkhead bursts on a Boeing 747SR operating as Japan Airlines Flight 123, destroying the vertical stabilizer and severing all four of the aircraft's hydraulic systems. The crew keep the aircraft flying for 32 minutes until it clips Mount Takamagahara and crashes, killing all but four of the 524 people on board. The accident was caused by a faulty repair to the bulkhead after a much-earlier tailstrike incident. 
Note: This crash is covered again in the Season 23 episode 'Pressure Point'.


Type of aircraft: Boeing 747SR"
16,4,"""Fight for Your Life""",Federal Express Flight 705,5 October 2005 (2005-10-05),"On 7 April 1994, Auburn Calloway, a disgruntled employee, attempts to hijack a DC-10 operating as Federal Express Flight 705 armed with hammers and a speargun. Despite sustaining serious injuries from Calloway's assault, the crew successfully subdues him with a combination of their own strength and using the DC-10 to carry out multiple aerial manoeuvres, and returns the aircraft safely to Memphis International Airport. 


Type of aircraft: McDonnell Douglas DC-10-30F"
17,5,"""Bomb on Board""",Philippine Airlines Flight 434,12 October 2005 (2005-10-12),"On 11 December 1994, a bomb explodes on Philippine Airlines Flight 434 on the second leg of a service from Manila to Tokyo via Cebu City, killing a passenger, injuring many people and damaging some of the aircraft's control systems. The crew successfully lands the aircraft at Naha Airport in Okinawa. Subsequent investigation determined that Ramzi Yousef, a terrorist, smuggled the bomb aboard the aircraft on the first leg of its flight.


Type of aircraft: Boeing 747-200B"
18,6,"""Mistaken Identity""",Iran Air Flight 655,19 October 2005 (2005-10-19),"On 3 July 1988, during the Iran–Iraq War, the USS Vincennes launches missiles which bring down Iran Air Flight 655, killing all 290 people on board. The crew of the Vincennes claimed that they mistook the airliner for an Iranian Air Force Grumman F-14 Tomcat fighter, but Iran believes that the U.S. deliberately shot it down.


Type of aircraft: Airbus A300B2-200"
19,7,"""Helicopter Down""",Bristow Helicopters Flight 56C,26 October 2005 (2005-10-26),"On 19 January 1995, lightning damages the tail rotor of Bristow Helicopters Flight 56C, forcing the crew to perform an emergency autorotation to a ditching in the sea. Despite the rough sea conditions, the 16 oil rig workers and 2 pilots are rescued by a nearby ship.


Type of aircraft: Eurocopter AS332 Super Puma"
20,8,"""Death and Denial""",EgyptAir Flight 990,2 November 2005 (2005-11-02),"On 31 October 1999, EgyptAir Flight 990 crashes into the Atlantic Ocean while flying from New York City to Cairo, killing all 217 people on board. The cause of the crash is disputed: the Egyptian government claims that the crash was caused by a mechanical failure with the elevators, but the U.S. government claims the aircraft was deliberately crashed by the Relief First Officer Gameel Al-Batouti.


Type of aircraft: Boeing 767-300ER"
21,9,"""Runaway Train""",San Bernardino train disaster (SP 7551 East),30 November 2005 (2005-11-30),"On 12 May 1989, a 69-car freight train goes out of control while descending from California's Cajon Pass. It derails in a residential neighbourhood of San Bernardino after reaching speeds in excess of 100 miles per hour (160 km/h). Two residents and two train crew members are killed in the initial crash. More than a week later, an underground gasoline pipeline, damaged by earth-moving equipment during the post-crash clean-up, ruptures and sparks a fire that kills another two people. Clerks in Mojave had greatly underestimated the train's weight, and it had been assembled without enough locomotives to provide adequate braking. Additionally, several of the engines' brakes were completely inoperative, but this information was not passed on to the crews.
Note: This episode is labeled as a Crash Scene Investigation spin-off.


Type of train: Southern Pacific freight train (EMD SD40T-2 and EMD SD45T-2 locomotives), Sixty-nine freight cars pulled by six locomotives"
22,10,"""Kid in the Cockpit""",Aeroflot Flight 593,9 November 2005 (2005-11-09),"On 23 March 1994, Aeroflot Flight 593 stalls and crashes while en route to British Hong Kong, killing all 75 people on board. The pilot's 15-year-old son accidentally disabled the autopilot while in the captain's seat, causing the aircraft to bank heavily to the right, inducing the stall.


Type of aircraft: Airbus A310-300"
23,11,"""Collision Course""",The MS Express Samina sinking,23 November 2005 (2005-11-23),"On 26 September 2000, waves push the MS Express Samina off course, causing it to hit a group of rocks off Paros and sink, killing 81 people. (The episode incorrectly states 80 people have died.) Subsequent investigation showed that the ferry was on autopilot, with the crew not monitoring the ship's course. They were instead watching a soccer match.
Note: This episode is labeled as a Crash Scene Investigation spin-off.


Type of ship: Passenger ferry (MS Express Samina)"
24,12,"""Head On Collision""",Hinton train collision,16 November 2005 (2005-11-16),"On 8 February 1986, a Via Rail passenger train and a 118-car Canadian National Railway freight train collide after the freight train crew fail to stop at a red railway signal on a section of a passing loop, killing 23 people. An inquiry concluded that a ""railroader culture"", which prized loyalty and productivity at the expense of safety, had resulted in a tired and sick crew of three, including an engineer at extreme risk of a stroke or heart attack, to either fall asleep or be otherwise incapacitated, failing to stop the freight train. 
Note: This episode is labeled as a Crash Scene Investigation spin-off.


Type of train: Via Rail passenger train (FP9A and F9B locomotives); 118-car Canadian National freight train (one EMD GP38-2 and two EMD SD40 locomotives)"
25,13,"""Ocean Landing""",Ethiopian Airlines Flight 961,7 December 2005 (2005-12-07),"On 23 November 1996, Ethiopian Airlines Flight 961 is forced to ditch after running out of fuel. The aircraft breaks up as the wings hit the water, killing 125 people. The aircraft had been hijacked and ran out of fuel because the hijackers did not believe the pilot's insistence that there was not enough fuel aboard to make it to the hijackers' planned destination, Australia.


Type of aircraft: Boeing 767-200ER"
26,1,"""Desperate Escape""",Air France Flight 358,15 April 2007 (2007-04-15),"On 2 August 2005, Air France Flight 358 overruns the runway, travels through the airport perimeter fence and plunges down a small ravine while attempting to land in a storm. All 309 passengers and crew survive. The causes of the crash were the aircraft deviating above the required approach path for its landing, touching down too far along the runway and the crew deploying the thrust reversers too slowly. 


Type of aircraft: Airbus A340-300"
27,2,"""Falling from the Sky""",British Airways Flight 009,22 April 2007 (2007-04-22),"On 24 June 1982, British Airways Flight 009 experiences St. Elmo's fire en route from Kuala Lumpur, Malaysia, to Perth, Australia. A few minutes later, all four engines flame out. After descending, the crew successfully restarts the engines and lands safely. The St. Elmo's fire and engine flame-outs were caused by volcanic ash spewed by Galunggung in Indonesia during a major eruption.


Type of aircraft: Boeing 747-200B"
28,3,"""Fire Fight""",Air Canada Flight 797,29 April 2007 (2007-04-29),"On 2 June 1983, a fire breaks out on Air Canada Flight 797's toilet. An emergency landing is made in Cincinnati, but the aircraft is engulfed by flames on the runway due to a flashover caused by the opening of the aircraft's doors after the landing, killing 23 people, including musician Stan Rogers. The origin of the fire could not be determined as a result of the flashover.


Type of aircraft: McDonnell Douglas DC-9-32"
29,4,"""Final Approach""",Korean Air Flight 801,6 May 2007 (2007-05-06),"On 6 August 1997, during final approach for a night landing in Guam, Korean Air Flight 801 crashes into a hill while attempting a missed approach, killing 228 people. The causes were pilot error and the instrument landing system at Guam airport being temporarily out of service for maintenance work.


Type of aircraft: Boeing 747-300"
30,5,"""Hidden Danger""","United Airlines Flight 585, USAir Flight 427, and Eastwind Airlines Flight 517",13 May 2007 (2007-05-13),"On 3 March 1991, a Boeing 737 operating as United Airlines Flight 585 suddenly rolls into a dive and crashes within eight seconds, killing all 25 people on board. On 8 September 1994, USAir Flight 427 also rolls and crashes within thirty seconds, killing all 132 people on board. On 9 June 1996, Eastwind Airlines Flight 517 also rolls unexpectedly in similar circumstances, but the crew successfully regains control of the aircraft and lands safely. The cause of all three incidents was a design flaw with the rudder's control system which allowed the rudder to suddenly and unexpectedly go to full deflection and jam due to thermal shock of the hydraulic control valve.


Type of aircraft: Flight 585: Boeing 737-200; Flight 427: Boeing 737-300; Flight 517: Boeing 737-200"
31,6,"""Panic over the Pacific""",China Airlines Flight 006,20 May 2007 (2007-05-20),"On 19 February 1985, China Airlines Flight 006's number four (right-side outer) engine flames out. As the crew tries to restart the engine, the Boeing 747SP enters a dive. The crew successfully regains control, restarts the engine and lands safely at San Francisco International Airport. The incident was caused by pilot error.


Type of aircraft: Boeing 747SP"
32,7,"""Out of Sight""",Aeroméxico Flight 498,27 May 2007 (2007-05-27),"On 31 August 1986, Aeroméxico Flight 498 collides with a light aircraft over Cerritos, California, causing both to go out of control and crash, killing 82 people. The accident was caused by neither pilot making visual contact with the other aircraft and a lack of automated collision warning systems. The crash inspires the creation of the traffic collision avoidance system.


Type of aircraft: Flight 498: McDonnell Douglas DC-9-32; light aircraft: Piper PA-28-181 Archer"
33,8,"""Fog of War""",1996 Croatia USAF CT-43 crash,3 June 2007 (2007-06-03),"On 3 April 1996, United States Air Force Flight 21 veers off course and flies into a mountain while attempting to land at Dubrovnik Airport in Croatia in heavy fog, killing all 35 people on board, including the U.S. Commerce Secretary Ron Brown. The non-precision approach procedure the crew needed to follow required the use of two automatic direction finders, but the aircraft was only fitted with one.


Type of aircraft: Boeing CT-43"
34,9,"""Vertigo""",Flash Airlines Flight 604,10 June 2007 (2007-06-10),"On 3 January 2004, Flash Airlines Flight 604 banks to the right just after takeoff and crashes into the Red Sea, killing all 148 people on board. The cause of this disaster is disputed, but suggested to be spatial disorientation on the part of the flight crew.


Type of aircraft: Boeing 737-300"
35,10,"""Ghost Plane""",Helios Airways Flight 522,17 June 2007 (2007-06-17),"On 14 August 2005, air traffic controllers lose radio contact with Helios Airways Flight 522. Two fighters from the Hellenic Air Force intercept and investigate the flight and find all but one person on board not moving. A few moments later, the aircraft runs out of fuel and crashes, killing all 121 people on board. An incorrect cabin pressurization setting had caused everyone on board to succumb to hypoxia.


Type of aircraft: Boeing 737-300"
36,1,"""Invisible Killer""",Delta Air Lines Flight 191,7 May 2008 (2008-05-07),"On 2 August 1985, Delta Air Lines Flight 191 crash-lands while on approach to Dallas/Fort Worth International Airport, killing 8 of the 11 crew members, 128 of the 152 passengers on board, and one person on the ground. This accident was one of the few commercial air crashes in which the meteorological phenomenon known as a microburst was a direct contributing factor.


Type of aircraft: Lockheed L-1011-1 Tristar"
37,2,"""Gimli Glider""",Air Canada Flight 143,14 May 2008 (2008-05-14),"On 23 July 1983, Air Canada Flight 143 runs out of fuel at 41,000 feet (12,500m) altitude, about halfway through its flight from Montreal to Edmonton. The crew is able to glide the aircraft safely to an emergency landing at Gimli Industrial Park Airport, a former airbase at Gimli, Manitoba. An unserviceable fuel gauge and an error in converting between metric and imperial units caused the aircraft to be loaded with insufficient fuel prior to the flight.


Type of aircraft: Boeing 767-200"
38,3,"""Behind Closed Doors""",American Airlines Flight 96 and Turkish Airlines Flight 981,16 April 2008 (2008-04-16)[3],"On 12 June 1972, a McDonnell Douglas DC-10 operating as American Airlines Flight 96 suffers an explosive decompression after a cargo door in the lower rear fuselage bursts open. The crew makes an emergency landing at Detroit without any loss of life. Nearly two years later, on 3 March 1974, Turkish Airlines Flight 981 crashes near Senlis after suffering a similar sequence of events during a flight from Paris to London, killing all 346 people on board. A design flaw with the DC-10's cargo door locking mechanism was not rectified after the first accident, and the second DC-10's door opened during flight, causing the crash.


Type of aircraft: McDonnell Douglas DC-10-10 (both aircraft)"
39,4,"""Fanning the Flames""",South African Airways Flight 295,21 May 2008 (2008-05-21),"On 28 November 1987, a fire breaks out on South African Airways Flight 295 in the rear main cargo area as it is flying high above the Indian Ocean. The Boeing 747 combined passenger/cargo aircraft (Combi) crashes with no survivors. The exact cause of the fire is undetermined.


Type of aircraft: Boeing 747-200 Combi"
40,5,"""Dead Weight""",Air Midwest Flight 5481,30 April 2008 (2008-04-30)[3],"On 8 January 2003, Air Midwest Flight 5481 crashes into an aircraft hangar at Charlotte Douglas International Airport seconds after takeoff on a flight to Greenville. All 21 people on board die. Investigation showed that the pilots' controls had been improperly adjusted during maintenance, and that the aircraft was overloaded due to outdated formulae for calculation of passenger weights.


Type of aircraft: Beechcraft 1900D"
41,6,"""Southern Storm""",Southern Airways Flight 242,23 April 2008 (2008-04-23)[3],"On 4 April 1977, Southern Airways Flight 242, a flight from Huntsville, Alabama, to Atlanta, Georgia, flies through a severe thunderstorm and is hit by large hailstones. After both engines fail, the aircraft makes an emergency landing on a highway in New Hope, Paulding County, Georgia. However, it collides with a gas station and explodes, killing 63 people on board and nine on the ground.


Type of aircraft: McDonnell Douglas DC-9-31"
42,7,"""Air India: Explosive Evidence""",Air India Flight 182,9 April 2008 (2008-04-09)[3],"On 23 June 1985, Air India Flight 182 explodes in mid-air over the coast of Ireland, killing all 329 passengers and crew members on board. The investigation traced the cause of the explosion to be a bomb from the Sikh militant group Babbar Khalsa.


Type of aircraft: Boeing 747-200B"
43,8,"""Mixed Signals""",Birgenair Flight 301,4 June 2008 (2008-06-04),"On 6 February 1996, Birgenair Flight 301 is scheduled to fly from Puerto Plata to Frankfurt. On takeoff, the captain finds that his airspeed indicator is not reading properly, though the co-pilot's indicator is showing the correct speed. The pilots become confused and believe that both indicators are malfunctioning, resulting in the aircraft stalling and crashing into the Atlantic Ocean, killing all 189 people on board. 


Type of aircraft: Boeing 757-200"
44,9,"""Fatal Distraction""",Eastern Air Lines Flight 401,28 May 2008 (2008-05-28),"On 29 December 1972, Eastern Air Lines Flight 401 is on a flight to Miami International Airport. While making preparations to land, the crew are distracted by a faulty landing gear indicator light and accidentally disengage the autopilot while trying to resolve the problem. Flying at night, the crew fail to notice their descent until only seconds before crashing into the Everglades. Out of the 176 people on board, 101 are killed. 


Type of aircraft: Lockheed L-1011-1 Tristar"
45,10,"""Phantom Strike""",Gol Transportes Aéreos Flight 1907,11 June 2008 (2008-06-11),"On 29 September 2006, Gol Transportes Aéreos Flight 1907 collides with a brand new business jet on its delivery flight over the Amazon. The Legacy manages to make a safe landing at an airbase, but the Gol jet crashes with no survivors. Air traffic controllers had cleared both aircraft to fly at the same altitude in opposite directions, and the Legacy's transponder was switched off, making both aircraft's traffic collision avoidance systems useless in preventing the collision.


Type of aircraft: Flight 1907: Boeing 737-800; business jet: Embraer Legacy 600"
46,1,"""Ripped Apart""",BOAC Flight 781 South African Airways Flight 201 Aloha Airlines Flight 243 British Airways Flight 5390 United Airlines Flight 811 Helios Airways Flight 522,16 December 2007 (2007-12-16),"This special looked at accidents and incidents where pressurization failure or explosive decompression played a part.


Types of aircraft: Flights 781 and 201: de Havilland DH.106 Comet 1; Flight 243: Boeing 737-200; Flight 5390: BAC 1-11 528FL; Flight 811: Boeing 747-100; Flight 522: Boeing 737-300"
47,2,"""Fatal Flaw""",Alaska Airlines Flight 261 Japan Air Lines Flight 123 Atlantic Southeast Airlines Flight 529 Swissair Flight 111 United Airlines Flight 585 USAir Flight 427 Eastwind Airlines Flight 517,16 December 2007 (2007-12-16),"This special looked at accidents caused by seemingly minor defects or errors.


Types of aircraft: Flight 261: McDonnell Douglas MD-83; Flight 123: Boeing 747SR; Flight 529: Embraer EMB 120 Brasilia; Flight 111: McDonnell Douglas MD-11; Flight 585: Boeing 737-200; Flight 427: Boeing 737-300; Flight 517: Boeing 737-200"
48,3,"""Who's Flying the Plane?""",Aeroperú Flight 603 China Airlines Flight 006 Aeroflot Flight 593 Flash Airlines Flight 604 Air Transat Flight 236,2 March 2008 (2008-03-02),"This special looked at accidents and incidents where problems with the interface between crew members and on-board avionics were a factor and the causes of those problems.


Types of aircraft: Flight 603: Boeing 757-200; Flight 006: Boeing 747SP; Flight 593: Airbus A310-300; Flight 604: Boeing 737-300; Flight 236: Airbus A330-200"
49,1,"""Scratching the Surface""",China Airlines Flight 611,18 November 2009 (2009-11-18),"On 25 May 2002, China Airlines Flight 611 disintegrates in mid-air and crashes into the Taiwan Strait 20 minutes after taking off from Taipei, killing all 225 people on board. A faulty repair to the lower rear skin of the aircraft following a tailstrike more than 20 years earlier had caused the entire tail section to weaken and fail.


Type of aircraft: Boeing 747-200B"
50,2,"""Lockerbie Disaster""",Pan Am Flight 103,4 November 2009 (2009-11-04),"On 21 December 1988, a bomb explodes on Pan Am Flight 103, causing the aircraft to disintegrate in mid-air and the wreckage of the aircraft to crash into the Scottish town of Lockerbie, killing all 259 people on board and 11 people on the ground.


Type of aircraft: Boeing 747-100"
51,3,"""Blown Apart""",Partnair Flight 394,25 November 2009 (2009-11-25),"On 8 September 1989, Partnair Flight 394 loses control, breaks up in mid-air, and crashes into the North Sea, killing all 55 people on board. The aircraft's vertical stabilizer had vibrated loose during flight due to excessive wear on sub-standard bolts, sleeves, and pins that had been illegally sold as ""aircraft-grade.""


Type of aircraft: Convair CV-580"
52,4,"""Sight Unseen""",1996 Charkhi Dadri mid-air collision,11 November 2009 (2009-11-11),"On 12 November 1996, Saudia Flight 763 and Kazakhstan Airlines Flight 1907 collide in mid-air near New Delhi, India, killing all 349 people on both aircraft. The world's deadliest mid-air collision and the overall third-deadliest aircraft accident, the crash was caused by the crew members on the Kazakhstan Airlines aircraft failing to maintain the altitude assigned by air traffic control.


Type of aircraft: Flight 763: Boeing 747-100B; Flight 1907: Ilyushin Il-76"
53,5,"""Operation Babylift""",1975 Tân Sơn Nhứt C-5 accident,2 December 2009 (2009-12-02),"On 4 April 1975, a United States Air Force transport aircraft conducting the inaugural flight of Operation Babylift suffers an explosive decompression when the rear cargo door fails and crashes into a paddy field while attempting an emergency landing at Tan Son Nhut Air Base in South Vietnam, killing 138 people. The investigation found that parts had been removed from the rear cargo doors and improperly replaced.


Type of aircraft: Lockheed C-5A Galaxy"
54,6,"""Falling Fast""",Tuninter Flight 1153,9 December 2009 (2009-12-09),"On 6 August 2005, Tuninter Flight 1153 runs out of fuel and ditches into the Mediterranean Sea, killing 16 people. An incorrect type of fuel gauge had been installed, misleading the crew about how much fuel was on board.


Type of aircraft: ATR 72-200"
55,7,"""Flight 574: Lost""",Adam Air Flight 574,16 December 2009 (2009-12-16),"On 1 January 2007, Adam Air Flight 574 crashes into the Makassar Strait in Indonesia, killing all 102 people on board. The crew inadvertently disengaged the autopilot while trying to fix a problem with the aircraft's inertial reference system, causing it to roll into an uncontrolled dive and break up during flight.


Type of aircraft: Boeing 737-400"
56,8,"""Frozen in Flight""",American Eagle Flight 4184,16 December 2009 (2009-12-16),"On 31 October 1994, American Eagle Flight 4184 loses control and crashes into a field while circling to land at O'Hare International Airport, killing all 68 people on board. The crash was caused by ice developing on the wings in a manner that the on-board deicing system could not remove.


Type of aircraft: ATR 72-200"
57,1,"""System Breakdown""",1956 Grand Canyon mid-air collision Aeroméxico Flight 498 Avianca Flight 052 Gol Transportes Aéreos Flight 1907 2002 Überlingen mid-air collision,10 June 2009 (2009-06-10),"This special looked at the role of air traffic controllers in the airline industry and examines the Next Generation Air Transportation System, a new technology meant to eliminate mid-air collisions by reducing overall dependence on radar and radio, as well as delegating some of the air traffic controllers' tasks to computers on board each aircraft.


Types of aircraft: Grand Canyon collision: Lockheed L-1049 Super Constellation and Douglas DC-7; Cerritos collision: McDonnell Douglas DC-9-32 and Piper PA-28-181 Archer; Flight 052: Boeing 707-320B; Gol Transportes Aéreos collision: Boeing 737-800 and Embraer Legacy 600; Überlingen collision: Tupolev Tu-154M and Boeing 757-200PF"
58,2,"""Cruel Skies""",Southern Airways Flight 242 Delta Air Lines Flight 191 American Airlines Flight 1420 British Airways Flight 009,17 June 2009 (2009-06-17),"This special looked at the role of bad weather in aviation disasters and examines the U.S. Aviation Weather Center in Kansas City, Missouri, to see how information on weather is transmitted to pilots in the sky.


Types of aircraft: Flight 242: McDonnell Douglas DC-9-32; Flight 191: Lockheed L-1011-1 Tristar; Flight 1420: McDonnell Douglas MD-82; Flight 009: Boeing 747-200B"
59,1,"""Panic on the Runway""",1985 Manchester Airport disaster,1 March 2010 (2010-03-01),"On 22 August 1985, an engine of British Airtours Flight 28M fails during takeoff, puncturing a hole in the wing fuel tank and starting a fire. The crew successfully abandons the takeoff and stops the aircraft on the runway, but the fire spreads to the cabin. Out of the 137 occupants onboard the flight, 55 people die before they can evacuate, mainly due to inhaling toxic smoke. The investigation found that a defective engine fuel injector failed and ruptured the fuel tank. 


Type of aircraft: Boeing 737-200"
60,2,"""Alarming Silence""",Northwest Airlines Flight 255,15 March 2010 (2010-03-15),"On 16 August 1987, shortly after takeoff from Detroit Metropolitan Airport, Northwest Airlines Flight 255 stalls and crashes just beyond the runway, killing all but 1 of the 155 people on board and 2 people on the ground. Subsequent investigation showed that the pilots failed to configure the aircraft's flaps and slats for takeoff. It was also discovered that the aural takeoff warning did not sound, but for unknown reasons.


Type of aircraft: McDonnell Douglas MD-82"
61,3,"""Pilot vs. Plane""",Air France Flight 296Q,8 March 2010 (2010-03-08),"On 26 June 1988, Air France Flight 296Q fails to climb and crashes into trees after performing a flyby during an airshow at Mulhouse-Habsheim Airport, killing three people. The cause of the crash is disputed: the investigation blamed the pilot, but the captain himself claims that the cause was a problem with the fly-by-wire computer. 


Type of aircraft: Airbus A320-100"
62,4,"""Cleared for Disaster""",1991 Los Angeles runway collision,22 March 2010 (2010-03-22),"On 1 February 1991, USAir Flight 1493 collides with SkyWest Airlines Flight 5569 on the runway at Los Angeles International Airport, killing 35 people. An air traffic controller mistakenly assigned Flight 1493 to land on a runway where the SkyWest Airlines aircraft was waiting to take off.
Note: This accident is covered again in the Season 25 episode ""No Exit"".


Type of aircraft: Flight 1493: Boeing 737-300; Flight 5569: Fairchild Metro III"
63,5,"""Target Is Destroyed""",Korean Air Lines Flight 007,29 March 2010 (2010-03-29),"In the early hours of 1 September 1983, during the Cold War, Korean Air Lines Flight 007 is shot down after violating Soviet Union airspace, killing all 269 people on board. The crew did not set the autopilot to the correct mode following takeoff, which caused the aircraft to stray off course.


Type of aircraft: Boeing 747-200B"
64,6,"""Cold Case""",Air Ontario Flight 1363 and USAir Flight 405,12 April 2010 (2010-04-12),"On 10 March 1989, Air Ontario Flight 1363 crashes just after takeoff in snowy weather, killing 24 people. Three years later, on 22 March 1992, USAir Flight 405 also crashes just after takeoff in similar conditions to Flight 1363, killing 27 people. The cause of both crashes was ice on the wings, which significantly reduced lift.


Type of aircraft: Flight 1363: Fokker F28-1000; Flight 405: Fokker F28-4000"
